tipo,codigo,tipoPergunta,obrigatoria,outro,descricao,bloco,pergunta,,,
A,3,,,,Localizar,,48,,,
A,4,,,,Oi,,48,,,
A,5,,,,Toledo,,48,,,
A,6,,,,Tudo a Ver,,48,,,
A,7,,,,Viver,,48,,,
P,49,alternativa,true ,true ,Hotel,A,,,,
A,1,,,,Bello,,49,,,
A,2,,,,Cogo,,49,,,
A,3,,,,Do Lago,,49,,,
A,4,,,,Dominguinhos,,49,,,
A,5,,,,Estrela Azul,,49,,,
A,6,,,,Luar,,49,,,
A,7,,,,Maestro,,49,,,
A,8,,,,Monte Sion,,49,,,
A,9,,,,Nayru,,49,,,
A,10,,,,Olinda,,49,,,
A,11,,,,Rosas Hotel,,49,,,
A,12,,,,Sleep,,49,,,
